        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2019-08-24 21:59:35 ,         315.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            609   ,         29   ,                        9   ,                   0   ,                    1   ,                    39.2   ,                        13.1   ,              16   , 0.7060   ,               39.0   ,                  6851   ,
2019-08-24 21:59:36 ,         315.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            610   ,         29   ,                       10   ,                   0   ,                    1   ,                    40.2   ,                        13.4   ,              16   , 0.7060   ,               38.9   ,                  6850   ,
2019-08-24 21:59:37 ,         315.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            625   ,         33   ,                       11   ,                   0   ,                    2   ,                    39.6   ,                        13.2   ,              16   , 0.7060   ,               38.9   ,                  6863   ,
2019-08-24 21:59:38 ,         315.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            630   ,         30   ,                       10   ,                   0   ,                    1   ,                    40.8   ,                        13.6   ,              16   , 0.7060   ,               38.9   ,                  6864   ,
2019-08-24 21:59:39 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            583   ,         34   ,                       11   ,                   0   ,                    2   ,                    40.4   ,                        13.5   ,              16   , 0.7060   ,               38.9   ,                  6899   ,
2019-08-24 21:59:40 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            586   ,         31   ,                       14   ,                   7   ,                    3   ,                    40.0   ,                        13.3   ,              16   , 0.7060   ,               38.9   ,                  6907   ,
2019-08-24 21:59:41 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            632   ,         28   ,                       14   ,                  12   ,                    2   ,                    42.4   ,                        14.1   ,              16   , 0.7060   ,               39.1   ,                  6954   ,
2019-08-24 21:59:42 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            639   ,         29   ,                       14   ,                  26   ,                    3   ,                    42.7   ,                        14.2   ,              16   , 0.7060   ,               39.8   ,                  7059   ,
2019-08-24 21:59:43 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            647   ,         30   ,                       15   ,                  28   ,                    3   ,                    42.5   ,                        14.2   ,              16   , 0.7060   ,               40.3   ,                  7088   ,
2019-08-24 21:59:44 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            647   ,         26   ,                       13   ,                  26   ,                    2   ,                    41.2   ,                        13.7   ,              16   , 0.7060   ,               40.1   ,                  7124   ,
